;NMI;Time;;;;
Indian Pines;0.6175566291317418;8.903321981430054;;;;
Indian Pines corrected;0.623853108132081;8.295034170150757;;;;
Salinas;0.6765577183844252;13.845764875411987;;;;
Salinas corrected;0.6991137399955764;11.14286732673645;;;;
Botswana;0.8271125490810286;91.7171859741211;;;;
Kennedy Space Centre;0.6638930754694198;44.3146288394928;;;;
Salinas-A;0.7580239651974066;0.8061072826385498;;;;
Salinas-A corrected;0.7939992005333967;0.6448297500610352;;;;
Pavia Centre;0.8125734289480886;102.38348484039307;;;;
Pavia University;0.6945665873376976;29.639280319213867;;;;
